s_date,s_price_a,s_price_b,s_price_c,s_bought_a,s_bought_b,s_bought_c,s_money_left,buy_a,buy_b,buy_c,sp_date,sp_price_a,sp_price_b,sp_price_c,sp_bought_a,sp_bought_b,sp_bought_c,sp_money_left,buy_ap,buy_bp,buy_cp,r
0,50,100,250,False,False,False,400,0,0,0,0,45.86,106.58,256.22,False,False,False,400,0,0,0,-203.078197177329
1,45.86,106.58,256.22,False,False,False,400,0,0,0,1,49.13,120.75,222.1,False,False,False,400,0,0,0,-207.22265018094797
2,49.13,120.75,222.1,False,False,False,400,0,0,0,2,45.19,120.29,276.78,False,False,False,400,0,0,0,-211.4516838581102
3,45.19,120.29,276.78,False,False,False,400,0,0,0,3,48.46,113.81,312.03,False,False,False,400,0,0,0,-215.76702434501038
4,48.46,113.81,312.03,False,False,False,400,0,0,0,4,44.5,118.92,300.01,False,False,False,400,0,0,0,-220.17043300511264
5,44.5,118.92,300.01,False,False,False,400,0,0,0,5,34.49,109.7,333.69,False,False,False,400,0,0,0,-224.66370714807414
6,34.49,109.7,333.69,False,False,False,400,0,0,0,6,33.55,126.75,387.82,False,False,False,400,0,0,0,-229.24868076334096
7,33.55,126.75,387.82,False,False,False,400,0,0,0,7,32.71,110.43,391.23,False,False,False,400,0,0,0,-233.92722526871526
8,32.71,110.43,391.23,False,False,False,400,0,0,0,8,34.98,116.66,322.76,False,False,False,400,0,0,0,-238.70125027419925
9,34.98,116.66,322.76,False,False,False,400,0,0,0,9,34.69,122.85,343.55,False,False,False,400,0,0,0,-243.5727043614278
10,34.69,122.85,343.55,False,False,False,400,0,0,0,10,31.7,133.68,305.01,False,False,False,400,0,0,0,-248.54357587900796
11,31.7,133.68,305.01,False,False,False,400,0,0,0,11,28.18,152.0,324.0,False,False,False,400,0,0,0,-253.61589375408977
12,28.18,152.0,324.0,False,False,False,400,0,0,0,12,23.82,148.17,287.31,False,False,False,400,0,0,0,-258.7917283204998
13,23.82,148.17,287.31,False,False,False,400,0,0,0,13,21.89,155.77,327.25,False,False,False,400,0,0,0,-264.0731921637753
14,21.89,155.77,327.25,False,False,False,400,0,0,0,14,21.61,152.54,348.11,False,False,False,400,0,0,0,-269.46244098344414
15,21.61,152.54,348.11,False,False,False,400,0,0,0,15,22.32,151.59,338.27,False,False,False,400,0,0,0,-274.9616744729022
16,22.32,151.59,338.27,False,False,False,400,0,0,0,16,19.77,158.47,368.12,False,False,False,400,0,0,0,-280.5731372172471
17,19.77,158.47,368.12,False,False,False,400,0,0,0,17,21.94,162.17,394.16,False,False,False,400,0,0,0,-286.2991196094358
18,21.94,162.17,394.16,False,False,False,400,0,0,0,18,24.38,180.1,406.93,False,False,False,400,0,0,0,-292.14195878513857
19,24.38,180.1,406.93,False,False,False,400,0,0,0,19,26.0,203.79,339.09,False,False,False,400,1,1,0,-298.104039576672
20,26.0,203.79,339.09,False,False,False,400,1,1,0,20,20.16,202.21,301.69,True,True,False,170.21,0,0,0,-304.1877954864
21,20.16,202.21,301.69,True,True,False,170.21,0,0,0,21,17.06,204.18,334.27,True,True,False,170.21,0,0,0,-310.39570968
22,17.06,204.18,334.27,True,True,False,170.21,0,0,0,22,16.22,240.48,293.19,True,True,False,170.21,0,0,0,-316.73031599999996
23,16.22,240.48,293.19,True,True,False,170.21,0,0,0,23,13.58,292.33,325.87,True,True,False,170.21,0,0,0,-323.19419999999997
24,13.58,292.33,325.87,True,True,False,170.21,0,0,0,24,11.94,325.31,363.23,True,True,False,170.21,NONE,NONE,NONE,-329.78999999999996
