s_date,s_price_a,s_price_b,s_price_c,s_bought_a,s_bought_b,s_bought_c,s_money_left,buy_a,buy_b,buy_c,sp_date,sp_price_a,sp_price_b,sp_price_c,sp_bought_a,sp_bought_b,sp_bought_c,sp_money_left,buy_ap,buy_bp,buy_cp,r
0,50,100,250,False,False,False,400,True,False,True,0,48.72,100.97,261.08,True,False,True,100,False,False,False,1.7226385750101358
1,48.72,100.97,261.08,True,False,True,100,False,False,False,1,58.71,103.23,247.63,True,False,True,100,False,False,False,1.757794464296057
2,58.71,103.23,247.63,True,False,True,100,False,False,False,2,50.86,104.1,227.15,True,False,True,100,False,False,False,1.7936678207102623
3,50.86,104.1,227.15,True,False,True,100,False,False,False,3,44.98,105.16,242.73,True,False,True,100,False,False,False,1.8302732864390432
4,44.98,105.16,242.73,True,False,True,100,False,False,False,4,45.41,113.56,248.48,True,False,True,100,False,False,False,1.8676258024888197
5,45.41,113.56,248.48,True,False,True,100,False,False,False,5,45.37,118.84,252.44,True,False,True,100,False,False,False,1.90574061478451
6,45.37,118.84,252.44,True,False,True,100,False,False,False,6,40.58,101.17,228.55,True,False,True,100,False,False,False,1.9446332803923572
7,40.58,101.17,228.55,True,False,True,100,False,False,False,7,49.33,112.57,228.6,True,False,True,100,False,False,False,1.9843196738697522
8,49.33,112.57,228.6,True,False,True,100,False,False,False,8,55.4,109.88,232.38,True,False,True,100,False,False,False,2.024815993744645
9,55.4,109.88,232.38,True,False,True,100,False,False,False,9,48.07,114.22,210.49,True,False,True,100,False,False,False,2.066138769127189
10,48.07,114.22,210.49,True,False,True,100,False,False,False,10,49.72,109.83,211.54,True,False,True,100,False,False,False,2.1083048664563155
11,49.72,109.83,211.54,True,False,True,100,False,False,False,11,54.41,111.42,219.8,True,False,True,100,False,False,False,2.1513314963839956
12,54.41,111.42,219.8,True,False,True,100,False,False,False,12,46.08,108.22,232.13,True,False,True,100,False,False,False,2.1952362207999956
13,46.08,108.22,232.13,True,False,True,100,False,False,False,13,54.32,93.16,220.88,True,False,True,100,False,False,False,2.2400369599999954
14,54.32,93.16,220.88,True,False,True,100,False,False,False,14,49.15,103.04,207.51,True,False,True,100,False,False,False,2.2857519999999956
15,49.15,103.04,207.51,True,False,True,100,False,False,False,15,46.69,97.62,217.6,True,False,True,100,False,True,False,2.3323999999999954
16,46.69,97.62,217.6,True,False,True,100,False,True,False,16,43.02,100.66,251.73,True,True,True,2.3799999999999955,NONE,NONE,NONE,2.3799999999999955
